"ch_name"|"ch_type"|"ch_data"|"num_lat"|"num_long"
"8 Homeward"|"Crater"|"Crater visible in the iconic Earthrisea colour photograph, taken aboard Apollo 8 by W A Anders on December 24, 1968, symbolizes the safe return to Earth of Apollo 8 The crater was previously designated Ganskiy (Hansky) M"|-12.0249|97.0932
"Abbe"|"Crater"|"Ernst Karl; German optician, physicist, astronomer (1840-1905)"|-57.5755|174.775
"Abbe H"|"Satellite Feature"|"Ernst Karl; German optician, physicist, astronomer (1840-1905)"|-58.4449|177.584
"Abbe K"|"Satellite Feature"|"Ernst Karl; German optician, physicist, astronomer (1840-1905)"|-59.8159|176.858
"Abbe M"|"Satellite Feature"|"Ernst Karl; German optician, physicist, astronomer (1840-1905)"|-61.7462|175.239
"Abbot"|"Crater"|"Charles Greeley; American astrophysicist (1872-1973)"|5.5562|54.7431
"Abel"|"Crater"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-34.6257|85.7762
"Abel A"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-36.3141|85.7973
"Abel B"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-36.7202|82.5954
"Abel C"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-36.1273|81.4094
"Abel D"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-37.6716|86.4543
"Abel E"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-37.5354|84.4354
"Abel J"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-36.2027|79.8714
"Abel K"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-34.6915|77.4576
"Abel L"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-34.5525|82.3946
"Abel M"|"Satellite Feature"|"Niels Henrik; Norwegian mathematician (1802-1829)"|-32.3763|83.5218
"Abenezra"|"Crater"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-20.9936|11.8907
"Abenezra A"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-22.7915|10.4423
"Abenezra B"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-20.8178|10.0625
"Abenezra C"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-21.3666|11.0906
"Abenezra D"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-21.7587|9.6489
"Abenezra E"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-21.4636|9.4044
"Abenezra F"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-21.58|10.3365
"Abenezra G"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-20.5327|11.0016
"Abenezra H"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-21.0865|12.711
"Abenezra J"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-19.9173|10.6863
"Abenezra P"|"Satellite Feature"|"Abraham ben Meir Ibn Ezra; Spanish mathematician, astronomer (1092-1164/1167)"|-20.0162|9.8496
"Abetti"|"Crater"|"Antonio; Italian astronomer (1846-1928); Giorgio; Italian astronomer (1882-1982)"|20.1127|27.8157
"Abul Wafa"|"Crater"|"Abu al-Wafa al-Buzajani; Persian mathematician, astronomer (940-998)"|0.9626|116.631
"Abul Wafa A"|"Satellite Feature"|"Abu al-Wafa al-Buzajani; Persian mathematician, astronomer (940-998)"|1.3971|116.859
"Abul Wafa Q"|"Satellite Feature"|"Abu al-Wafa al-Buzajani; Persian mathematician, astronomer (940-998)"|0.1437|115.884
"Abulfeda"|"Crater"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-13.8651|13.9103
"Abulfeda A"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-16.4303|10.7533
"Abulfeda B"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-14.5072|16.3705
"Abulfeda BA"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-14.6917|16.7959
"Abulfeda C"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.793|10.829
"Abulfeda D"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-13.2474|9.4612
"Abulfeda E"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-16.7613|10.1362
"Abulfeda F"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-16.1862|13.0659
"Abulfeda G"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-13.1021|8.9367
"Abulfeda H"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-13.8351|9.5571
"Abulfeda J"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-15.4862|10.0327
"Abulfeda K"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-14.9203|10.58
"Abulfeda L"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-14.0869|10.6717
"Abulfeda M"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-16.235|12.0623
"Abulfeda N"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-15.144|12.2004
"Abulfeda O"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-15.4682|11.1584
"Abulfeda P"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-15.4973|11.5448
"Abulfeda Q"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.8592|12.224
"Abulfeda R"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.7855|12.9678
"Abulfeda S"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.2841|13.2979
"Abulfeda T"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-14.8582|13.7138
"Abulfeda U"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.9719|13.7953
"Abulfeda W"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.5516|13.8472
"Abulfeda X"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-15.0147|13.9942
"Abulfeda Y"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-12.7567|14.0525
"Abulfeda Z"|"Satellite Feature"|"Ismail Ibn Abu al-Fida; Syrian geographer (1273-1331)"|-14.7296|15.1776
"Acosta"|"Crater"|"Cristobal; Portuguese doctor, natural historian (1515-1580)"|-5.6453|60.1395
"Adams"|"Crater"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)"|-31.8916|68.3869
"Adams B"|"Satellite Feature"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)"|-31.5429|65.7007
"Adams C"|"Satellite Feature"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)"|-32.3515|65.5392
"Adams D"|"Satellite Feature"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)"|-32.4074|71.4504
"Adams M"|"Satellite Feature"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)"|-34.733|69.3325
"Adams P"|"Satellite Feature"|"John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956)"|-35.1452|70.9095
"Aepinus"|"Crater"|"Franz Maria Ulrich Theodor Hoch; German-Russian astronomer (1724-1802)"|87.9582|-109.687
"Agatharchides"|"Crater"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-19.8537|-31.1146
"Agatharchides A"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-23.2735|-28.4611
"Agatharchides B"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-21.52|-31.7099
"Agatharchides C"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-22.0559|-32.9436
"Agatharchides E"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-20.7447|-33.1872
"Agatharchides F"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-20.2576|-31.8574
"Agatharchides G"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-20.1716|-26.8427
"Agatharchides H"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-20.4098|-33.9455
"Agatharchides J"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-21.622|-32.6059
"Agatharchides K"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-21.0765|-27.5348
"Agatharchides L"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-21.1224|-26.7895
"Agatharchides N"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-21.0917|-29.7164
"Agatharchides O"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-19.2378|-26.7122
"Agatharchides P"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-20.3002|-28.7732
"Agatharchides R"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-18.3601|-30.8454
"Agatharchides S"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-17.7527|-30.5889
"Agatharchides T"|"Satellite Feature"|"Agatharchides of Cnidos; Greek geographer (c 116 BC)"|-18.3245|-27.7977
"Agrippa"|"Crater"|"Greek astronomer (unkn-fl AD 92)"|4.0964|10.4741
"Agrippa B"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|6.1962|9.4567
"Agrippa D"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|3.7675|6.7151
"Agrippa E"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|5.1611|8.4429
"Agrippa F"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|4.3012|11.3697
"Agrippa G"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|3.9103|6.1592
"Agrippa H"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|4.7501|10.6976
"Agrippa S"|"Satellite Feature"|"Greek astronomer (unkn-fl AD 92)"|5.2788|8.8926
"Airy"|"Crater"|"George Biddell; British astronomer (1801-1892)"|-18.1416|5.6149
"Airy A"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-17.0451|7.6398
"Airy B"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-17.669|8.4563
"Airy C"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-19.2472|4.7736
"Airy D"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-18.134|8.337
"Airy E"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-20.7513|7.548
"Airy F"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-18.2045|7.2628
"Airy G"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-18.6971|6.9551
"Airy H"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-18.7352|5.6886
"Airy J"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-19.0524|6.085
"Airy L"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-20.4701|7.5401
"Airy M"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-19.1488|7.5632
"Airy N"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-17.8537|8.175
"Airy O"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-16.7521|8.3524
"Airy P"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-15.8837|8.3491
"Airy R"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-19.6017|8.7791
"Airy S"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-17.2765|9.3898
"Airy T"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-19.2742|9.383
"Airy V"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-17.4979|9.1365
"Airy X"|"Satellite Feature"|"George Biddell; British astronomer (1801-1892)"|-18.9472|10.1216
"Aitken"|"Crater"|"Robert Grant; American astronomer (1864-1951)"|-16.443|172.958
"Aitken A"|"Satellite Feature"|"Robert Grant; American astronomer (1864-1951)"|-13.8668|173.464
"Aitken C"|"Satellite Feature"|"Robert Grant; American astronomer (1864-1951)"|-13.7601|175.575
"Aitken G"|"Satellite Feature"|"Robert Grant; American astronomer (1864-1951)"|-16.7098|173.994
"Aitken N"|"Satellite Feature"|"Robert Grant; American astronomer (1864-1951)"|-17.6311|172.739
"Aitken Y"|"Satellite Feature"|"Robert Grant; American astronomer (1864-1951)"|-11.9296|172.921
"Aitken Z"|"Satellite Feature"|"Robert Grant; American astronomer (1864-1951)"|-14.8904|173.206
"Akis"|"Crater"|"Greek female name"|20.0109|-31.7594
"Al Bakri"|"Crater"|"Abu Ubayd Abdallah Ibn abd al-Aziz Ibn Muhammad; Spanish-Arab geographer (1010-1094)"|14.3354|20.2451
"Al Biruni"|"Crater"|"Abu ar-Rayhan Muhammad ibn Ahmad al-Biruni; Persian astronomer, mathematician, geographer (973-1048)"|18.0713|92.6162
